cgn,CG_Subgroup,FCID_Code,FCID_Desc
34,34,3400295000,"Pork, liver"
35,35,3500339000,"Sheep, meat"
35,35,3500339001,"Sheep, meat-babyfood"
35,35,3500340000,"Sheep, meat byproducts"
35,35,3500341000,"Sheep, fat"
35,35,3500341001,"Sheep, fat-babyfood"
35,35,3500342000,"Sheep, kidney"
35,35,3500343000,"Sheep, liver"
36,36,3600222000,"Milk, fat"
36,36,3600222001,"Milk, fat-baby food/infant formula"
36,36,3600223000,"Milk, nonfat solids"
36,36,3600223001,"Milk, nonfat solids-baby food/infant formula"
36,36,3600224000,"Milk, water"
36,36,3600224001,"Milk, water-babyfood/infant formula"
36,36,3600225001,"Milk, sugar (lactose)-baby food/infant formula"
37,37,3700222501,"Milk, human"
38,38,3800221000,"Meat, game"
39,39,3900312000,"Rabbit, meat"
40,40,4000093000,"Chicken, meat"
40,40,4000093001,"Chicken, meat-babyfood"
40,40,4000094000,"Chicken, liver"
40,40,4000095000,"Chicken, meat byproducts"
40,40,4000095001,"Chicken, meat byproducts-babyfood"
40,40,4000096000,"Chicken, fat"
40,40,4000096001,"Chicken, fat-babyfood"
40,40,4000097000,"Chicken, skin"
40,40,4000097001,"Chicken, skin-babyfood"
50,50,5000382000,"Turkey, meat"
50,50,5000382001,"Turkey, meat-babyfood"
50,50,5000383000,"Turkey, liver"
50,50,5000383001,"Turkey, liver-babyfood"
50,50,5000384000,"Turkey, meat byproducts"
50,50,5000384001,"Turkey, meat byproducts-babyfood"
50,50,5000385000,"Turkey, fat"
50,50,5000385001,"Turkey, fat-babyfood"
50,50,5000386000,"Turkey, skin"
50,50,5000386001,"Turkey, skin-babyfood"
60,60,6000301000,"Poultry, other, meat"
60,60,6000302000,"Poultry, other, liver"
60,60,6000303000,"Poultry, other, meat byproducts"
60,60,6000304000,"Poultry, other, fat"
60,60,6000305000,"Poultry, other, skin"
70,70,7000145000,"Egg, whole"
70,70,7000145001,"Egg, whole-babyfood"
70,70,7000146000,"Egg, white"
70,70,7000146001,"Egg, white (solids)-babyfood"
70,70,7000147000,"Egg, yolk"
70,70,7000147001,"Egg, yolk-babyfood"
80,80,8000157000,Fish-freshwater finfish
80,80,8000158000,"Fish-freshwater finfish, farm raised"
80,80,8000159000,"Fish-saltwater finfish, tuna"
80,80,8000160000,"Fish-saltwater finfish, other"
80,80,8000161000,"Fish-shellfish, crustacean"
