"FOOD_CODE","CG_SUBGROUP","NUMBER"
"11000000","37","1"
"11100000","36","3"
"11111000","36","3"
"11111100","36","3"
"11111150","36","3"
"11111160","36","3"
"11111170","36","3"
"11112000","36","3"
"11112110","36","3"
"11112120","36","3"
"11112130","36","3"
"11112210","36","3"
"11113000","36","3"
"11114300","36","3"
"11114310","36","3"
"11114320","36","3"
"11114321","36","3"
"11114330","36","3"
"11114350","36","3"
"11115000","36","3"
"11115100","36","3"
"11115200","36","3"
"11115300","36","3"
"11116000","36","3"
"11120000","36","3"
"11120000","86B","1"
"11121100","36","3"
"11121100","86B","1"
"11121210","36","3"
"11121210","86B","1"
"11121300","36","3"
"11121300","86B","1"
"11210000","36","3"
"11210000","86B","1"
"11210050","36","3"
"11210100","36","3"
"11210200","36","3"
"11210200","86B","1"
"11211000","36","3"
"11211000","86B","1"
"11211050","36","3"
"11211100","36","3"
"11211200","36","3"
"11211200","86B","1"
"11211400","36","3"
"11211500","36","3"
"11212000","36","3"
"11212000","86B","1"
"11212050","36","3"
"11212100","36","3"
"11220000","1A","1"
"11220000","36","3"
"11220000","O","1"
"11220100","1A","1"
"11220100","36","3"
"11220100","O","1"
"11220200","1A","1"
"11220200","36","3"
"11220200","86B","1"
"11220200","O","1"
"11310000","15","1"
"11310000","1A","1"
"11310000","20A","1"
"11310000","20B","2"
"11310000","20C","1"
"11310000","36","1"
"11310000","6","1"
"11310000","O","1"
"11320000","6","1"
"11320100","6","1"
"11320200","6","1"
"11321000","6","1"
"11321000","O","1"
"11321100","6","1"
"11321100","O","1"
"11321200","6","1"
"11321200","O","1"
"11330000","6","1"
"11340000","14","1"
"11340000","15","2"
"11340000","1A","1"
"11340000","36","1"
"11340000","6C","1"
"11340000","O","2"
"11410000","12A","1"
"11410000","12B","1"
"11410000","13A","1"
"11410000","13B","1"
"11410000","13G","1"
"11410000","15","1"
"11410000","24B","1"
"11410000","36","3"
"11411010","36","3"
"11411100","36","3"
"11411200","36","3"
"11411300","36","3"
"11420000","10B","1"
"11420000","15","1"
"11420000","19B","1"
"11420000","36","3"
"11420000","O","3"
"11421000","10B","1"
"11421000","15","1"
"11421000","19B","1"
"11421000","36","3"
"11421000","O","3"
"11422000","10B","1"
"11422000","15","1"
"11422000","19B","1"
"11422000","36","3"
"11422000","O","3"
"11422100","10B","1"
"11422100","15","1"
"11422100","19B","1"
"11422100","36","3"
"11422100","O","3"
"11423000","10B","1"
"11423000","15","1"
"11423000","19B","1"
"11423000","36","3"
"11423000","O","3"
"11424000","10B","1"
"11424000","15","1"
"11424000","19B","1"
"11424000","31","1"
"11424000","34","1"
"11424000","36","3"
"11424000","O","3"
"11425000","15","3"
"11425000","1A","1"
"11425000","1C","1"
"11425000","1CD","1"
"11425000","36","3"
"11425000","O","3"
"11426000","15","3"
"11426000","1A","1"
"11426000","1C","1"
"11426000","1CD","1"
"11426000","36","3"
"11426000","O","3"
"11427000","14","1"
"11427000","15","3"
"11427000","1A","1"
"11427000","1C","1"
"11427000","1CD","1"
"11427000","36","3"
"11427000","O","3"
"11430000","12A","1"
"11430000","12B","1"
"11430000","13A","1"
"11430000","13B","1"
"11430000","13G","1"
"11430000","15","1"
"11430000","24B","1"
"11430000","36","3"
"11431000","12A","1"
"11431000","12B","1"
"11431000","13A","1"
"11431000","13B","1"
"11431000","13G","1"
"11431000","15","1"
"11431000","24B","1"
"11431000","36","3"
"11432000","12A","1"
"11432000","12B","1"
"11432000","13A","1"
"11432000","13B","1"
"11432000","13G","1"
"11432000","15","1"
"11432000","24B","1"
"11432000","36","3"
"11432500","12A","1"
"11432500","12B","1"
"11432500","13A","1"
"11432500","13B","1"
"11432500","13G","1"
"11432500","15","1"
"11432500","24B","1"
"11432500","36","3"
"11433000","12A","1"
"11433000","12B","1"
"11433000","13A","1"
"11433000","13B","1"
"11433000","13G","1"
"11433000","15","1"
"11433000","24B","1"
"11433000","36","3"
"11433500","12A","1"
"11433500","12B","1"
"11433500","13A","1"
"11433500","13B","1"
"11433500","13G","1"
"11433500","24B","1"
"11433500","36","3"
"11445000","12A","1"
"11445000","12B","1"
"11445000","13A","1"
"11445000","13B","1"
"11445000","13G","1"
"11445000","15","1"
"11445000","24B","1"
"11445000","36","3"
"11446000","12A","1"
"11446000","12B","1"
"11446000","13A","1"
"11446000","13B","1"
"11446000","13G","1"
"11446000","15","1"
"11446000","24B","1"
"11446000","36","3"
"11459990","1A","1"
"11459990","36","3"
"11459990","O","2"
"11460000","10B","1"
"11460000","12A","1"
"11460000","12B","1"
"11460000","13A","1"
"11460000","13B","1"
"11460000","13G","1"
"11460000","19B","1"
"11460000","1A","1"
"11460000","24B","1"
"11460000","36","3"
"11460000","O","5"
"11460100","1A","1"
"11460100","36","3"
"11460100","O","2"
"11460150","1A","1"
"11460150","36","3"
"11460150","O","2"
"11460160","1A","1"
"11460160","36","3"
"11460160","O","2"
"11460170","1A","1"
"11460170","36","3"
"11460170","O","1"
"11460190","15","1"
"11460190","1A","1"
"11460190","31","1"
"11460190","34","1"
"11460190","36","3"
"11460190","O","1"
"11460200","1A","1"
"11460200","36","3"
"11460200","O","2"
"11460250","10B","1"
"11460250","12A","1"
"11460250","12B","1"
"11460250","13A","1"
"11460250","13B","1"
"11460250","13G","1"
"11460250","15","1"
"11460250","19B","1"
"11460250","1A","1"
"11460250","24B","1"
"11460250","36","3"
"11460250","70","1"
"11460250","O","4"
"11460300","10B","1"
"11460300","12A","1"
"11460300","12B","1"
"11460300","13A","1"
"11460300","13B","1"
"11460300","13G","1"
"11460300","19B","1"
"11460300","1A","1"
"11460300","24B","1"
"11460300","36","3"
"11460300","O","4"
"11460400","36","3"
"11460400","O","1"
"11460410","10B","1"
"11460410","12A","1"
"11460410","12B","1"
"11460410","13A","1"
"11460410","13B","1"
"11460410","13G","1"
"11460410","15","1"
"11460410","19B","1"
"11460410","24B","1"
"11460410","36","3"
"11460410","O","3"
"11460420","12A","1"
"11460420","12B","1"
"11460420","13A","1"
"11460420","13B","1"
"11460420","13G","1"
"11460420","19B","1"
"11460420","1A","1"
"11460420","24B","1"
"11460420","36","3"
"11460420","O","2"
"11460430","1A","1"
"11460430","36","3"
"11460430","O","2"
"11460440","12A","1"
"11460440","12B","1"
"11460440","13A","1"
"11460440","13B","1"
"11460440","13G","1"
"11460440","19B","1"
"11460440","1A","1"
"11460440","24B","1"
"11460440","36","3"
"11460440","O","1"
"11461000","12A","1"
"11461000","12B","1"
"11461000","13A","1"
"11461000","13B","1"
"11461000","13G","1"
"11461000","14","1"
"11461000","15","1"
"11461000","19B","1"
"11461000","1A","1"
"11461000","24B","1"
"11461000","36","3"
"11461000","O","2"
"11461200","12A","1"
"11461200","12B","1"
"11461200","13A","1"
"11461200","13B","1"
"11461200","13G","1"
"11461200","15","1"
"11461200","19B","1"
"11461200","1A","1"
"11461200","20C","1"
"11461200","24B","1"
"11461200","31","1"
"11461200","34","1"
"11461200","36","3"
"11461200","6","1"
"11461200","O","1"
"11461250","15","1"
"11461250","19B","1"
"11461250","1A","1"
"11461250","20C","1"
"11461250","36","3"
"11461250","6","1"
"11461250","O","2"
"11461260","12A","1"
"11461260","12B","1"
"11461260","13A","1"
"11461260","13B","1"
"11461260","13G","1"
"11461260","15","1"
"11461260","19B","1"
"11461260","1A","1"
"11461260","20C","1"
"11461260","24B","1"
"11461260","31","1"
"11461260","34","1"
"11461260","36","3"
"11461260","6","1"
"11461260","O","1"
"11461270","10B","1"
"11461270","12A","1"
"11461270","12B","1"
"11461270","13A","1"
"11461270","13B","1"
"11461270","13G","1"
"11461270","15","1"
"11461270","19B","1"
"11461270","1A","1"
"11461270","20C","1"
"11461270","24B","1"
"11461270","36","3"
"11461270","6","1"
"11461270","O","4"
"11461280","15","1"
"11461280","19B","1"
"11461280","1A","1"
"11461280","20C","1"
"11461280","36","3"
"11461280","6","1"
"11461280","O","2"
"11480010","36","3"
"11480040","12A","1"
"11480040","12B","1"
"11480040","13A","1"
"11480040","13B","1"
"11480040","13G","1"
"11480040","15","2"
"11480040","24B","1"
"11480040","36","3"
"11511000","1A","1"
"11511000","36","3"
"11511000","O","2"
"11511100","1A","1"
"11511100","36","3"
"11511100","O","2"
"11511200","1A","1"
"11511200","1CD","1"
"11511200","36","3"
"11511200","O","4"
"11511300","1A","1"
"11511300","36","3"
"11511300","O","2"
"11511400","1A","1"
"11511400","1CD","1"
"11511400","36","3"
"11511400","O","4"
"11512000","1A","1"
"11512000","36","3"
"11512000","O","2"
"11512500","19B","4"
"11512500","1A","4"
"11512500","36","12"
"11512500","86B","4"
"11512500","O","8"
"11512510","19B","1"
"11512510","1A","1"
"11512510","36","3"
"11512510","86B","1"
"11512510","O","2"
"11513000","15","1"
"11513000","36","3"
"11513000","6","1"
"11513000","O","1"
"11513100","15","1"
"11513100","36","3"
"11513100","6","1"
"11513100","O","1"
"11513150","15","1"
"11513150","36","3"
"11513150","6","1"
"11513150","O","1"
"11513200","15","4"
"11513200","36","12"
"11513200","6","4"
"11513200","O","4"
"11513300","15","1"
"11513300","36","3"
"11513300","6","1"
"11513300","O","1"
"11513400","15","1"
"11513400","36","3"
"11513400","O","1"
"11513500","15","1"
"11513500","36","3"
"11513500","O","1"
"11513550","15","1"
"11513550","36","3"
"11513550","O","1"
"11513600","15","3"
"11513600","36","9"
"11513600","O","3"
"11513700","15","1"
"11513700","36","3"
"11513700","O","1"
"11514100","14","1"
"11514100","15","1"
"11514100","36","3"
"11514100","86B","1"
"11514100","O","2"
"11514300","36","3"
"11514300","6","1"
"11514300","86B","1"
"11514300","O","1"
"11514500","20C","1"
"11514500","36","3"
"11514500","6","1"
"11514500","O","1"
"11516000","20C","1"
"11516000","36","9"
"11516000","6","3"
"11516000","O","3"
"11518000","14","1"
"11518000","15","1"
"11518000","36","3"
"11518000","86B","1"
"11518000","O","1"
"11518050","14","1"
"11518050","15","1"
"11518050","36","3"
"11518050","86B","1"
"11518100","14","1"
"11518100","15","1"
"11518100","36","3"
"11518100","86B","1"
"11518100","O","1"
"11519000","15","4"
"11519000","1C","1"
"11519000","1CD","1"
"11519000","36","3"
"11519040","15","4"
"11519040","1C","1"
"11519040","1CD","1"
"11519040","36","3"
"11519050","15","4"
"11519050","1C","1"
"11519050","1CD","1"
"11519050","36","3"
"11519105","15","4"
"11519105","1C","1"
"11519105","1CD","1"
"11519105","36","3"
"11519200","15","4"
"11519200","1C","1"
"11519200","1CD","1"
"11519200","36","3"
"11519205","15","4"
"11519205","1C","1"
"11519205","1CD","1"
"11519205","36","3"
"11520000","15","9"
"11520000","36","9"
"11520000","O","3"
"11521000","15","3"
"11521000","36","3"
"11521000","O","1"
"11522000","15","6"
"11522000","36","6"
"11522000","O","2"
"11525000","15","20"
"11525000","1C","4"
"11525000","1CD","4"
"11525000","36","12"
"11525000","6","4"
"11526000","15","10"
"11526000","36","15"
"11526000","O","5"
"11527000","15","10"
"11527000","36","15"
"11527000","86B","1"
"11527000","O","5"
"11531000","19B","1"
"11531000","1A","1"
"11531000","36","3"
"11531000","70","1"
"11531000","O","1"
"11531500","19B","1"
"11531500","1A","1"
"11531500","36","3"
"11531500","70","1"
"11531500","O","1"
"11541000","12A","1"
"11541000","12B","1"
"11541000","13A","1"
"11541000","13B","1"
"11541000","13G","1"
"11541000","15","1"
"11541000","19B","1"
"11541000","1A","1"
"11541000","24B","1"
"11541000","36","3"
"11541000","86B","1"
"11541000","O","2"
"11541100","12A","1"
"11541100","12B","1"
"11541100","13A","1"
"11541100","13B","1"
"11541100","13G","1"
"11541100","15","1"
"11541100","19B","1"
"11541100","1A","1"
"11541100","24B","1"
"11541100","36","3"
"11541100","O","1"
"11541110","15","3"
"11541110","1A","3"
"11541110","31","3"
"11541110","34","3"
"11541110","36","9"
"11541110","O","6"
"11541120","10A","1"
"11541120","12A","4"
"11541120","12B","4"
"11541120","13A","4"
"11541120","13B","4"
"11541120","13G","5"
"11541120","15","5"
"11541120","19B","4"
"11541120","1A","5"
"11541120","24B","4"
"11541120","36","15"
"11541120","O","5"
"11541400","12A","2"
"11541400","12B","2"
"11541400","13A","2"
"11541400","13B","2"
"11541400","13G","2"
"11541400","15","6"
"11541400","19B","2"
"11541400","1A","2"
"11541400","24B","2"
"11541400","36","6"
"11541400","86B","2"
"11541400","O","2"
"11541500","15","1"
"11541500","36","3"
"11541500","O","1"
"11541510","15","1"
"11541510","36","3"
"11542100","15","4"
"11542100","1C","1"
"11542100","1CD","1"
"11542100","20C","1"
"11542100","36","3"
"11542100","6","1"
"11542100","O","1"
"11542200","15","4"
"11542200","19B","1"
"11542200","1C","1"
"11542200","1CD","1"
"11542200","20C","1"
"11542200","36","3"
"11542200","6","1"
"11551050","13G","6"
"11551050","15","1"
"11551050","1A","9"
"11551050","24B","8"
"11551050","36","27"
"11551050","6","1"
"11551050","O","10"
"11552200","10A","1"
"11552200","13G","1"
"11552200","1A","1"
"11552200","24C","1"
"11552200","36","3"
"11552200","86B","1"
"11552200","O","1"
"11553000","10A","1"
"11553000","10B","1"
"11553000","12A","1"
"11553000","12B","1"
"11553000","13A","1"
"11553000","13B","1"
"11553000","13G","1"
"11553000","15","1"
"11553000","19B","1"
"11553000","1A","1"
"11553000","24B","1"
"11553000","36","3"
"11553000","86B","1"
"11553000","O","4"
"11553100","10A","1"
"11553100","10B","1"
"11553100","12A","1"
"11553100","12B","1"
"11553100","13A","1"
"11553100","13B","1"
"11553100","13G","1"
"11553100","15","1"
"11553100","19B","1"
"11553100","1A","1"
"11553100","24B","1"
"11553100","36","3"
"11553100","86B","1"
"11553100","O","4"
"11560000","14","1"
"11560000","15","1"
"11560000","36","3"
"11560000","O","1"
"11560020","14","1"
"11560020","15","1"
"11560020","36","3"
"11560020","O","1"
"11561000","36","3"
"11561000","86B","1"
"11561000","O","1"
"11561010","1A","2"
"11561010","36","6"
"11561010","86B","2"
"11561010","O","4"
"11611000","15","1"
"11611000","1A","1"
"11611000","36","3"
"11611000","6","2"
"11611000","O","2"
"11612000","15","5"
"11612000","1A","5"
"11612000","36","15"
"11612000","6","10"
"11612000","O","10"
"11613000","15","6"
"11613000","1C","2"
"11613000","1CD","2"
"11613000","36","6"
"11613000","6","2"
"11613000","70","2"
"11613000","O","4"
"11621000","15","1"
"11621000","1A","1"
"11621000","36","3"
"11621000","O","1"
"11623000","10B","1"
"11623000","15","1"
"11623000","19B","1"
"11623000","1A","1"
"11623000","36","3"
"11623000","O","4"
"11631000","15","1"
"11631000","1A","1"
"11631000","36","3"
"11631000","6","2"
"11631000","O","1"
"11641000","15","1"
"11641000","1A","1"
"11641000","36","1"
"11641000","6","2"
"11641000","O","1"
"11641020","15","1"
"11641020","1A","1"
"11641020","36","1"
"11641020","6","2"
"11641020","O","1"
"11710000","14","1"
"11710000","15","1"
"11710000","1A","1"
"11710000","20B","2"
"11710000","36","2"
"11710000","6","2"
"11710000","O","3"
"11710050","14","1"
"11710050","1A","1"
"11710050","1CD","1"
"11710050","20B","1"
"11710050","36","1"
"11710050","6","1"
"11710050","O","1"
"11710051","14","1"
"11710051","1A","1"
"11710051","1CD","1"
"11710051","20B","1"
"11710051","36","1"
"11710051","6","1"
"11710051","O","1"
"11710053","20B","1"
"11710053","36","2"
"11710053","6","1"
"11710053","86B","1"
"11710061","14","1"
"11710061","20B","1"
"11710061","36","2"
"11710061","6","1"
"11710061","86B","1"
"11710063","14","1"
"11710063","20B","1"
"11710063","36","2"
"11710063","6","1"
"11710063","86B","1"
"11710100","14","1"
"11710100","20B","1"
"11710100","36","2"
"11710100","6","1"
"11710100","O","2"
"11710101","14","1"
"11710101","20B","1"
"11710101","36","2"
"11710101","6","1"
"11710101","O","2"
"11710102","14","1"
"11710102","20B","1"
"11710102","36","2"
"11710102","6","1"
"11710102","86B","1"
"11710102","O","2"
"11710103","14","2"
"11710103","20B","2"
"11710103","36","4"
"11710103","6","2"
"11710103","86B","2"
"11710103","O","2"
"11710110","14","1"
"11710110","20B","1"
"11710110","36","2"
"11710110","6","1"
"11710110","O","2"
"11710111","14","1"
"11710111","20B","1"
"11710111","36","2"
"11710111","6","1"
"11710111","O","2"
"11710112","14","1"
"11710112","36","2"
"11710112","6","1"
"11710112","86B","1"
"11710112","O","1"
"11710113","14","1"
"11710113","20B","1"
"11710113","36","2"
"11710113","6","1"
"11710113","86B","1"
"11710113","O","1"
"11710123","14","1"
"11710123","20B","1"
"11710123","36","2"
"11710123","6","1"
"11710123","86B","1"
"11710123","O","1"
"11710200","14","1"
"11710200","20B","1"
"11710200","36","2"
"11710200","6","1"
"11710201","14","1"
"11710201","20B","1"
"11710201","36","2"
"11710201","6","1"
"11710202","14","1"
"11710202","20B","1"
"11710202","36","2"
"11710202","6","1"
"11710202","86B","1"
"11710203","14","1"
"11710203","20B","1"
"11710203","36","2"
"11710203","6","1"
"11710203","86B","1"
"11710250","14","1"
"11710250","15","1"
"11710250","36","2"
"11710250","6","1"
"11710350","14","1"
"11710350","20B","1"
"11710350","36","2"
"11710350","6","1"
"11710351","14","1"
"11710351","20B","1"
"11710351","36","2"
"11710351","6","1"
"11710352","14","1"
"11710352","20B","1"
"11710352","36","2"
"11710352","6","1"
"11710352","86B","1"
"11710353","14","1"
"11710353","20B","2"
"11710353","36","4"
"11710353","6","2"
"11710353","86B","1"
"11710371","14","1"
"11710371","15","1"
"11710371","20B","1"
"11710371","36","1"
"11710371","6","1"
"11710373","14","2"
"11710373","15","2"
"11710373","20B","2"
"11710373","36","2"
"11710373","6","2"
"11710373","86B","2"
"11710400","14","1"
"11710400","20B","1"
"11710400","36","2"
"11710400","6","1"
"11710401","14","1"
"11710401","20B","1"
"11710401","36","2"
"11710401","6","1"
"11710402","14","1"
"11710402","20B","1"
"11710402","36","2"
"11710402","6","1"
"11710402","86B","1"
"11710403","14","8"
"11710403","20B","8"
"11710403","36","16"
"11710403","6","8"
"11710403","86B","7"
"11710450","14","1"
"11710450","15","1"
"11710450","36","2"
"11710450","6","1"
"11710451","14","1"
"11710451","20B","1"
"11710451","36","2"
"11710451","6","1"
"11710451","O","2"
"11710461","14","1"
"11710461","20B","1"
"11710461","36","2"
"11710461","6","1"
"11710470","20B","1"
"11710470","36","2"
"11710470","6","1"
"11710470","86B","1"
"11710473","14","1"
"11710473","20B","1"
"11710473","36","2"
"11710473","6","1"
"11710473","86B","1"
"11710500","14","1"
"11710500","20B","1"
"11710500","36","2"
"11710500","6","1"
"11710501","14","1"
"11710501","20B","1"
"11710501","36","2"
"11710501","6","1"
"11710502","14","1"
"11710502","20B","1"
"11710502","36","2"
"11710502","6","1"
"11710502","86B","1"
"11710503","14","1"
"11710503","20B","1"
"11710503","36","2"
"11710503","6","1"
"11710503","86B","1"
"11710551","14","1"
"11710551","20B","1"
"11710551","36","2"
"11710551","6","1"
"11710552","14","1"
"11710552","20B","1"
"11710552","36","2"
"11710552","6","1"
"11710552","86B","1"
"11710553","14","1"
"11710553","20B","1"
"11710553","36","2"
"11710553","6","1"
"11710553","86B","1"
"11710600","14","1"
"11710600","20B","1"
"11710600","36","2"
"11710600","6","1"
"11710600","O","2"
"11710601","14","1"
"11710601","20B","1"
"11710601","36","2"
"11710601","6","1"
"11710601","O","2"
"11710602","14","7"
"11710602","20B","7"
"11710602","36","14"
"11710602","6","7"
"11710602","86B","7"
"11710602","O","14"
"11710603","14","7"
"11710603","20B","7"
"11710603","36","14"
"11710603","6","7"
"11710603","86B","7"
"11710603","O","7"
"11710650","14","1"
"11710650","20B","1"
"11710650","36","2"
"11710650","6","1"
"11710650","O","1"
"11710651","14","1"
"11710651","20B","1"
"11710651","36","2"
"11710651","6","1"
"11710651","O","1"
"11710652","14","1"
"11710652","20B","1"
"11710652","36","2"
"11710652","6","1"
"11710652","86B","1"
"11710652","O","1"
"11710653","14","3"
"11710653","15","3"
"11710653","20B","3"
"11710653","36","3"
"11710653","6","3"
"11710653","86B","3"
"11710653","O","3"
"11710661","14","1"
"11710661","20B","1"
"11710661","36","2"
"11710661","6","1"
"11710661","O","1"
"11710663","14","1"
"11710663","20B","1"
"11710663","36","2"
"11710663","6","1"
"11710663","86B","1"
"11710663","O","1"
"11710667","14","1"
"11710667","15","1"
"11710667","20B","1"
"11710667","36","2"
"11710667","6","1"
"11710667","86B","1"
"11710667","O","1"
"11710670","15","1"
"11710670","20B","1"
"11710670","36","1"
"11710670","6","1"
"11710670","O","1"
"11710673","15","1"
"11710673","20B","1"
"11710673","36","1"
"11710673","6","1"
"11710673","86B","1"
"11710673","O","1"
"11710683","14","1"
"11710683","20B","1"
"11710683","36","2"
"11710683","6","1"
"11710683","86B","1"
"11710683","O","1"
"11710710","14","1"
"11710710","15","1"
"11710710","20B","1"
"11710710","36","1"
"11710710","6","1"
"11710710","O","1"
"11710711","14","1"
"11710711","15","1"
"11710711","20B","1"
"11710711","36","1"
"11710711","6","1"
"11710711","O","1"
"11710712","14","1"
"11710712","15","1"
"11710712","20B","1"
"11710712","36","1"
"11710712","6","1"
"11710712","86B","1"
"11710712","O","2"
"11710713","14","2"
"11710713","15","2"
"11710713","20B","2"
"11710713","36","2"
"11710713","6","2"
"11710713","86B","2"
"11710713","O","2"
"11710720","14","1"
"11710720","15","1"
"11710720","20B","1"
"11710720","36","1"
"11710720","6","1"
"11710720","O","1"
"11710721","14","1"
"11710721","15","3"
"11710721","1C","1"
"11710721","1CD","1"
"11710721","20B","1"
"11710721","36","2"
"11710721","6","1"
"11710721","86B","1"
"11710721","O","1"
"11710722","14","1"
"11710722","15","1"
"11710722","20B","1"
"11710722","36","1"
"11710722","6","1"
"11710722","86B","1"
"11710722","O","1"
"11710723","14","1"
"11710723","15","1"
"11710723","20B","1"
"11710723","36","1"
"11710723","6","1"
"11710723","86B","1"
"11710723","O","1"
"11710800","14","1"
"11710800","15","1"
"11710800","1A","1"
"11710800","20B","1"
"11710800","36","1"
"11710800","6","1"
"11710800","O","1"
"11710801","14","1"
"11710801","15","1"
"11710801","1A","1"
"11710801","20B","1"
"11710801","36","1"
"11710801","6","1"
"11710801","O","1"
"11710805","15","1"
"11710805","1A","1"
"11710805","20B","1"
"11710805","36","1"
"11710805","6","1"
"11710805","O","1"
"11710806","15","1"
"11710806","1A","1"
"11710806","20B","1"
"11710806","36","1"
"11710806","6","1"
"11710806","O","1"
"11710900","14","1"
"11710900","15","3"
"11710900","1C","1"
"11710900","1CD","1"
"11710900","20B","1"
"11710900","36","2"
"11710900","6","1"
"11710900","O","1"
"11710901","14","1"
"11710901","15","3"
"11710901","1C","1"
"11710901","1CD","1"
"11710901","20B","1"
"11710901","36","2"
"11710901","6","1"
"11710901","O","1"
"11710902","14","1"
"11710902","15","3"
"11710902","1C","1"
"11710902","1CD","1"
"11710902","20B","1"
"11710902","36","2"
"11710902","6","1"
"11710902","86B","1"
"11710902","O","1"
"11710903","14","5"
"11710903","15","15"
"11710903","1C","5"
"11710903","1CD","5"
"11710903","20B","5"
"11710903","36","10"
"11710903","6","5"
"11710903","86B","5"
"11710903","O","5"
"11710911","14","1"
"11710911","15","3"
"11710911","1C","1"
"11710911","1CD","1"
"11710911","20B","1"
"11710911","36","2"
"11710911","6","1"
"11710911","O","1"
"11710912","15","3"
"11710912","1C","1"
"11710912","1CD","1"
"11710912","20B","1"
"11710912","36","2"
"11710912","6","1"
"11710912","86B","1"
"11710912","O","1"
"11710913","15","3"
"11710913","1C","1"
"11710913","1CD","1"
"11710913","20B","1"
"11710913","36","2"
"11710913","6","1"
"11710913","86B","1"
"11710913","O","1"
"11710950","14","1"
"11710950","15","1"
"11710950","20B","1"
"11710950","36","2"
"11710950","6","1"
"11710950","O","1"
"11710951","14","1"
"11710951","15","1"
"11710951","20B","1"
"11710951","36","2"
"11710951","6","1"
"11710951","O","1"
"11710952","14","2"
"11710952","15","2"
"11710952","20B","2"
"11710952","36","4"
"11710952","6","2"
"11710952","86B","2"
"11710952","O","2"
"11710953","14","3"
"11710953","15","3"
"11710953","20B","3"
"11710953","36","6"
"11710953","6","3"
"11710953","86B","3"
"11710953","O","3"
"11710962","14","3"
"11710962","15","3"
"11710962","20B","3"
"11710962","6","6"
"11710962","86B","3"
"11710962","O","6"
"11720051","14","1"
"11720051","15","1"
"11720051","1A","1"
"11720051","20B","1"
"11720051","6","2"
"11720051","O","3"
"11720052","14","1"
"11720052","15","1"
"11720052","1A","1"
"11720052","6","2"
"11720052","86B","1"
"11720052","O","2"
"11720200","14","1"
"11720200","1A","1"
"11720200","20B","1"
"11720200","6","2"
"11720200","O","1"
"11720201","14","1"
"11720201","1A","1"
"11720201","20B","1"
"11720201","6","2"
"11720201","O","1"
"11720202","14","1"
"11720202","1A","1"
"11720202","20B","1"
"11720202","6","2"
"11720202","86B","1"
"11720202","O","1"
"11720203","14","1"
"11720203","1A","1"
"11720203","20B","1"
"11720203","6","2"
"11720203","86B","1"
"11720203","O","1"
"11720300","14","1"
"11720300","15","1"
"11720300","20B","1"
"11720300","6","2"
"11720300","O","2"
"11720301","14","1"
"11720301","15","1"
"11720301","20B","1"
"11720301","6","2"
"11720301","O","2"
"11720302","14","2"
"11720302","15","2"
"11720302","20B","2"
"11720302","6","4"
"11720302","86B","2"
"11720302","O","4"
"11720303","14","2"
"11720303","15","2"
"11720303","20B","2"
"11720303","6","4"
"11720303","86B","2"
"11720303","O","2"
"11720311","14","1"
"11720311","15","1"
"11720311","20B","1"
"11720311","6","2"
"11720311","O","2"
"11720312","14","1"
"11720312","15","1"
"11720312","20B","1"
"11720312","6","2"
"11720312","86B","1"
"11720312","O","2"
"11720313","14","1"
"11720313","20B","1"
"11720313","36","2"
"11720313","6","1"
"11720313","86B","1"
"11720313","O","1"
"11720400","14","1"
"11720400","15","1"
"11720400","1A","1"
"11720400","6","2"
"11720400","O","1"
"11720401","14","1"
"11720401","15","1"
"11720401","1A","1"
"11720401","6","2"
"11720401","O","1"
"11720402","14","2"
"11720402","15","2"
"11720402","1A","2"
"11720402","6","4"
"11720402","86B","2"
"11720402","O","2"
"11720403","14","5"
"11720403","15","5"
"11720403","1A","5"
"11720403","6","10"
"11720403","86B","5"
"11720403","O","5"
"11720411","15","1"
"11720411","1A","1"
"11720411","6","2"
"11720411","O","1"
"11720412","14","1"
"11720412","15","1"
"11720412","1A","1"
"11720412","6","2"
"11720412","86B","1"
"11720412","O","1"
"11720413","14","1"
"11720413","15","1"
"11720413","1A","1"
"11720413","6","2"
"11720413","86B","1"
"11720413","O","1"
"11720451","14","1"
"11720451","15","1"
"11720451","6","2"
"11720452","14","1"
"11720452","15","1"
"11720452","6","2"
"11720452","86B","1"
"11720502","14","1"
"11720502","15","1"
"11720502","1A","1"
"11720502","20B","1"
"11720502","6","2"
"11720502","86B","1"
"11720502","O","2"
"11720503","14","1"
"11720503","15","1"
"11720503","1A","1"
"11720503","20B","1"
"11720503","6","2"
"11720503","86B","1"
"11720503","O","2"
"11720600","14","1"
"11720600","15","1"
"11720600","1A","1"
"11720600","20B","1"
"11720600","6","2"
"11720600","O","2"
"11720601","14","1"
"11720601","15","1"
"11720601","1A","1"
"11720601","20B","1"
"11720601","6","2"
"11720601","O","2"
"11720602","14","3"
"11720602","15","3"
"11720602","1A","3"
"11720602","20B","3"
"11720602","6","6"
"11720602","86B","3"
"11720602","O","6"
"11720603","14","2"
"11720603","15","2"
"11720603","1A","2"
"11720603","20B","2"
"11720603","6","4"
"11720603","86B","2"
"11720603","O","4"
"11720612","14","1"
"11720612","15","1"
"11720612","1A","1"
"11720612","20B","1"
"11720612","6","2"
"11720612","86B","1"
"11720612","O","2"
"11720613","15","1"
"11720613","1A","1"
"11720613","20B","1"
"11720613","6","2"
"11720613","86B","1"
"11720613","O","2"
"11720700","14","1"
"11720700","15","1"
"11720700","1A","1"
"11720700","20B","1"
"11720700","6","2"
"11720700","86B","1"
