codedrug,parent
http://purl.obolibrary.org/obo/DRON_00011047,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00020165,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016914,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00010944,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017641,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017811,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_58953,http://purl.obolibrary.org/obo/CHEBI_28868
http://purl.obolibrary.org/obo/CHEBI_5118,http://purl.obolibrary.org/obo/CHEBI_33836
http://purl.obolibrary.org/obo/DRON_00012992,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36589,http://purl.obolibrary.org/obo/CHEBI_36585
http://purl.obolibrary.org/obo/CHEBI_32952,http://purl.obolibrary.org/obo/CHEBI_50047
http://purl.obolibrary.org/obo/CHEBI_46920,http://purl.obolibrary.org/obo/CHEBI_46845
http://purl.obolibrary.org/obo/DRON_00016879,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017540,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017686,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35506,http://purl.obolibrary.org/obo/CHEBI_35507
http://purl.obolibrary.org/obo/DRON_00723186,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016180,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_60004,http://purl.obolibrary.org/obo/CHEBI_59999
http://purl.obolibrary.org/obo/DRON_00016597,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24866,http://purl.obolibrary.org/obo/CHEBI_37577
http://purl.obolibrary.org/obo/DRON_00011800,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36853,http://purl.obolibrary.org/obo/CHEBI_35350
http://purl.obolibrary.org/obo/CHEBI_22506,http://purl.obolibrary.org/obo/CHEBI_18154
http://purl.obolibrary.org/obo/DRON_00010986,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_51336,http://purl.obolibrary.org/obo/CHEBI_24840
http://purl.obolibrary.org/obo/CHEBI_36820,http://purl.obolibrary.org/obo/CHEBI_33595
http://purl.obolibrary.org/obo/CHEBI_24396,http://purl.obolibrary.org/obo/CHEBI_16670
http://purl.obolibrary.org/obo/CHEBI_51323,http://purl.obolibrary.org/obo/CHEBI_26509
http://purl.obolibrary.org/obo/DRON_00723183,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24745,http://purl.obolibrary.org/obo/CHEBI_26421
http://purl.obolibrary.org/obo/DRON_00018791,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017005,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00015867,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35855,http://purl.obolibrary.org/obo/CHEBI_46874
http://purl.obolibrary.org/obo/DRON_00019437,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016913,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35788,http://purl.obolibrary.org/obo/CHEBI_35341
http://purl.obolibrary.org/obo/CHEBI_24833,http://purl.obolibrary.org/obo/CHEBI_24651
http://purl.obolibrary.org/obo/CHEBI_480999,http://purl.obolibrary.org/obo/CHEBI_27288
http://purl.obolibrary.org/obo/CHEBI_51269,http://purl.obolibrary.org/obo/CHEBI_33836
http://purl.obolibrary.org/obo/CHEBI_9667,http://purl.obolibrary.org/obo/CHEBI_50830
http://purl.obolibrary.org/obo/CHEBI_5779,http://purl.obolibrary.org/obo/CHEBI_38164
http://purl.obolibrary.org/obo/CHEBI_50994,http://purl.obolibrary.org/obo/CHEBI_50047
http://purl.obolibrary.org/obo/CHEBI_38443,http://purl.obolibrary.org/obo/CHEBI_22727
http://purl.obolibrary.org/obo/CHEBI_35854,http://purl.obolibrary.org/obo/CHEBI_35855
http://purl.obolibrary.org/obo/DRON_00020255,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_22729,http://purl.obolibrary.org/obo/CHEBI_36141
http://purl.obolibrary.org/obo/DRON_00019123,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_55429,http://purl.obolibrary.org/obo/CHEBI_38311
http://purl.obolibrary.org/obo/CHEBI_26835,http://purl.obolibrary.org/obo/CHEBI_33304
http://purl.obolibrary.org/obo/CHEBI_28838,http://purl.obolibrary.org/obo/CHEBI_23045
http://purl.obolibrary.org/obo/CHEBI_60979,http://purl.obolibrary.org/obo/CHEBI_24278
http://purl.obolibrary.org/obo/DRON_00020166,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_25375,http://purl.obolibrary.org/obo/CHEBI_63534
http://purl.obolibrary.org/obo/DRON_00016915,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/BFO_0000030,http://purl.obolibrary.org/obo/BFO_0000040
http://purl.obolibrary.org/obo/CHEBI_48416,http://purl.obolibrary.org/obo/CHEBI_48420
http://purl.obolibrary.org/obo/DRON_00019163,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00020100,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_25340,http://purl.obolibrary.org/obo/CHEBI_26421
http://purl.obolibrary.org/obo/DRON_00020177,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00014515,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36819,http://purl.obolibrary.org/obo/CHEBI_35788
http://purl.obolibrary.org/obo/CHEBI_53291,http://purl.obolibrary.org/obo/CHEBI_38856
http://purl.obolibrary.org/obo/CHEBI_33635,http://purl.obolibrary.org/obo/CHEBI_33595
http://purl.obolibrary.org/obo/CHEBI_50265,http://purl.obolibrary.org/obo/CHEBI_50264
http://purl.obolibrary.org/obo/CHEBI_24271,http://purl.obolibrary.org/obo/CHEBI_24586
http://purl.obolibrary.org/obo/CHEBI_38856,http://purl.obolibrary.org/obo/CHEBI_33853
http://purl.obolibrary.org/obo/CHEBI_35533,http://purl.obolibrary.org/obo/CHEBI_22478
http://purl.obolibrary.org/obo/DRON_00013488,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_8093,http://purl.obolibrary.org/obo/CHEBI_25990
http://purl.obolibrary.org/obo/DRON_00018971,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00723200,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004
http://purl.obolibrary.org/obo/CHEBI_26764,http://purl.obolibrary.org/obo/CHEBI_35341
http://purl.obolibrary.org/obo/CHEBI_33250,http://purl.obolibrary.org/obo/CHEBI_24431
http://purl.obolibrary.org/obo/CHEBI_6532,http://purl.obolibrary.org/obo/CHEBI_26151
http://purl.obolibrary.org/obo/DRON_00018709,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35346,http://purl.obolibrary.org/obo/CHEBI_36841
http://purl.obolibrary.org/obo/DRON_00010111,http://purl.obolibrary.org/obo/OBI_0000047
