"FCID_CODE","FCID_DESC","CGN","CG_SUBGROUP","POPULARITY","INTAKE_SUM","INTAKE_AVG","INTAKE_BW_AVG","RECIPES"
"1301056000","Blackberry, juice","13","13A","2","124.0000000","62","0.94454704375","3"
"6000302000","Poultry, other, liver","60","60","3","3.7446750","1.248225","0.01593343413333333333333333333333333","2"
"602255000","Pea, succulent","6","6B","151","4411.7550695","28.46293593225806451612903225806452","0.57649250078129032258064516129032258","447"
"9500335000","Seaweed","95","O","555","61.8319119","0.09497989539170506912442396313364","0.00205712949600614439324116743471582","434"
"602255001","Pea, succulent-babyfood","6","6B","5","83.5175000","16.7035","1.85094041866","22"
"9500335001","Seaweed-babyfood","95","O","9","4.3379100","0.433791","0.05623621223","32"
"902356000","Squash, summer","9","9B","35","2048.4934400","58.528384","1.08000975902571428571428571428571429","142"
"8000162000","Fish-shellfish, mollusc","80","80","21","738.0531135","35.14538635714285714285714285714286","0.50372918978571428571428571428571429","128"
"801374000","Tomatillo","8","8A","17","734.5125300","43.20661941176470588235294117647059","0.69414518108235294117647058823529412","4"
"1100268000","Pear, juice","11","11","217","1242.8487979","5.7011412747706422018348623853211","0.10568260925779816513761467889908257","43"
"603182000","Guar, seed","6","6C","565","80.6536327","0.12164952141779788838612368024133","0.00253161150814479638009049773755656","509"
"1500402001","Wheat, flour-babyfood","15","15","18","135.3473650","6.44511261904761904761904761904762","0.6717650560952380952380952380952381","58"
"1100268001","Pear, juice-babyfood","11","11","4","169.5176500","42.3794125","5.3216063173","9"
"1500402000","Wheat, flour","15","15","1407","122987.8321559","33.75077721072996706915477497255763","0.73401976867793633369923161361141603","5005"
"5000385001","Turkey, fat-babyfood","50","50","4","6.4025600","1.60064","0.1701824584","18"
"1500026000","Barley, flour","15","15","517","11190.4621901","18.55798041475953565505804311774461","0.24482518886019900497512437810945274","328"
"2402215000","Mango","24","24B","8","1055.8600000","131.9825","2.6238459547","7"
"5000385000","Turkey, fat","50","50","330","1053.8117132","2.93540867186629526462395543175487","0.06386882812701949860724233983286908","485"
"2302154000","Fig, dried","23","23B","5","68.4204730","13.6840946","0.15522746182","10"
"1500026001","Barley, flour-babyfood","15","15","1","1.2700000","1.27","0.1494117647","4"
"1901028000","Basil, fresh leaves","19","19A","3","8.6836200","2.89454","0.0412686639","2"
"1202230000","Nectarine","12","12B","4","442.0000000","110.5","3.22468533345","2"
"600349000","Soybean, soy milk","6","6","22","6731.2188199","292.66168782173913043478260869565217","10.33379003986956521739130434782608696","43"
"402117000","Collards","4","4B","16","2022.5084280","126.40677675","2.1744858918375","61"
"302103000","Chive, fresh leaves","3","3B","58","4.0407740","0.0696685172413793103448275862069","0.00078142072586206896551724137931034","40"
"103387000","Turmeric","1","1CD","211","9.2633954","0.04268845806451612903225806451613","0.00084456305437788018433179723502304","217"
"603038000","Bean, lima, seed","6","6C","1","20.5806720","20.580672","0.3441583946","31"
"9500116000","Coffee, instant","95","O","221","389.1547934","1.62826273389121338912133891213389","0.0232388420635983263598326359832636","111"
"1100009000","Apple, dried","11","11","55","23.8894842","0.43435425818181818181818181818182","0.01278487812545454545454545454545455","47"
"1002207000","Lime, juice","10","10B","246","1424.9646523","5.58809667568627450980392156862745","0.09334244714627450980392156862745098","64"
"1100009001","Apple, dried-babyfood","11","11","3","13.4200000","4.47333333333333333333333333333333","0.5262100122","2"
"8601200000","Water, direct, bottled","86","86A","475","493472.7900000","1038.89008421052631578947368421052632","17.744224439456","2"
"2002365000","Sunflower, oil","20","20B","1316","224.2060412","0.17036933221884498480243161094225","0.00357551857150455927051671732522796","3684"
"3600225001","Milk, sugar (lactose)-baby food/infant formula","36","36","50","2490.2932763","45.27805956909090909090909090909091","6.47528991503454545454545454545454545","98"
"2002365001","Sunflower, oil-babyfood","20","20B","35","138.3726684","3.95350481142857142857142857142857","0.59575240272285714285714285714285714","76"
"8602000000","Water, indirect, all sources","86","86B","1205","551247.4277372","266.5606517104448742746615087040619","7.17755213303607350096711798839458414","3334"
"4000094000","Chicken, liver","40","40","8","95.3128510","11.914106375","0.20716873385","30"
"2302183000","Guava","23","23B","7","82.2734820","11.75335457142857142857142857142857","0.1760479843","13"
"1902354000","Spices, other","19","19B","1095","483.1257229","0.26086702100431965442764578833693","0.00497648953131749460043196544276458","1650"
"1902354001","Spices, other-babyfood","19","19B","3","0.1442826","0.0480942","0.00510369873333333333333333333333333","8"
"1003180000","Grapefruit","10","10C","18","1483.1890230","82.39939016666666666666666666666667","1.18358510831666666666666666666666667","23"
"1400081000","Cashew","14","14","54","672.2441209","12.22262038","0.20676042119272727272727272727272727","24"
"1901184000","Herbs, other","19","19A","778","109.7003173","0.10629875707364341085271317829457","0.00219361326114341085271317829457364","831"
"500069000","Cabbage","5","5","89","4827.0468240","51.90372929032258064516129032258065","0.90909923978924731182795698924731183","162"
"401144000","Dillweed","4","4A","146","36.4033341","0.24933790479452054794520547945205","0.00503723876575342465753424657534247","163"
"600350000","Soybean, oil","6","6","1433","34381.0890859","23.99238596364270760642009769713887","0.50798692341186322400558269364968597","6006"
"600350001","Soybean, oil-babyfood","6","6","72","519.1781942","7.21080825277777777777777777777778","1.03068620074861111111111111111111111","198"
"401150000","Endive","4","4A","47","618.3892150","13.1572173404255319148936170212766","0.22831046121276595744680851063829787","11"
"602031000","Bean, broad, succulent","6","6B","1","47.3355456","47.3355456","0.9120529017","2"
"802273000","Pepper, nonbell, dried","8","8BC","362","182.5569796","0.45868587839195979899497487437186","0.01022959971708542713567839195979899","386"
"2302368000","Tamarind","23","23B","102","200.5595791","1.9471803796116504854368932038835","0.02348160865533980582524271844660194","63"
"1500125000","Corn, field, oil","15","15","1316","1756.6519099","1.33382832946089597570235383447229","0.02761923627395596051632498101746393","3839"
"1100010000","Apple, juice","11","11","413","41364.1300973","87.4505921718816067653276955602537","3.95067328493467230443974630021141649","111"
"1307359000","Strawberry","13","13G","336","5834.6801396","15.23415180052219321148825065274151","0.35077875909556135770234986945169713","174"
"1304179000","Grape, wine and sherry","13","13DF","171","10415.9662037","58.84726668757062146892655367231638","0.79600993952259887005649717514124294","179"
"1100010001","Apple, juice-babyfood","11","11","16","2129.8671560","125.28630329411764705882352941176471","14.20937044747647058823529411764705882","22"
"1001240000","Orange","10","10A","92","11196.8463735","120.39619756451612903225806451612903","3.04547060876129032258064516129032258","22"
"1901220000","Marjoram","19","19A","663","149.4010308","0.18559134260869565217391304347826","0.00424280182236024844720496894409938","640"
"2403281000","Pineapple, juice","24","24C","256","4712.5585801","18.05578000038314176245210727969349","0.56633315864942528735632183908045977","87"
"2403281001","Pineapple, juice-babyfood","24","24C","2","7.6515000","3.82575","0.5020060484","21"
"1400111000","Coconut, meat","14","14","4","1863.4499000","465.862475","6.303042838075","22"
"401248000","Parsley, leaves","4","4A","86","385.9890070","4.38623871590909090909090909090909","0.08593870425568181818181818181818182","116"
"6000303000","Poultry, other, meat byproducts","60","60","1","0.1650000","0.165","0.0027182867","9"
"8000157000","Fish-freshwater finfish","80","80","28","2543.0054150","90.82162196428571428571428571428571","1.42056639551071428571428571428571429","95"
"902357000","Squash, winter","9","9B","10","61.2585855","6.12585855","0.12552678013","48"
"500064000","Brussels sprouts","5","5","2","218.3280000","109.164","1.48395750755","17"
"801375000","Tomato","8","8A","684","34032.3532696","40.08522175453474676089517078916372","0.77887136670259128386336866902237927","919"
"3100049000","Beef, liver","31","31","1","20.0399820","20.039982","0.2443900244","14"
"103082000","Cassava","1","1CD","742","148.4849929","0.14416018728155339805825242718447","0.0040248612603883495145631067961165","1137"
"901187000","Honeydew melon","9","9A","8","414.9200000","51.865","0.98277411575","2"
"103082001","Cassava-babyfood","1","1CD","9","22.7542550","2.2754255","0.29133957828","47"
"1500403000","Wheat, germ","15","15","64","300.7074829","4.6985544203125","0.120748189315625","91"
"5000386001","Turkey, skin-babyfood","50","50","4","5.6625250","1.41563125","0.14419064115","17"
"1500027000","Barley, bran","15","15","2","0.8697956","0.4348978","0.0033122941","8"
"5000386000","Turkey, skin","50","50","205","459.3005831","2.14626440700934579439252336448598","0.04672188149299065420560747663551402","148"
"902357001","Squash, winter-babyfood","9","9B","1","46.1500000","46.15","6.3219178082","4"
"1901029000","Basil, dried leaves","19","19A","476","60.7399687","0.10983719475587703435804701627486","0.00267511714122965641952983725135624","309"
"1500120000","Corn, field, flour","15","15","483","12778.5417164","22.18496825763888888888888888888889","0.49324675338559027777777777777777778","249"
"1500120001","Corn, field, flour-babyfood","15","15","13","37.9959000","2.71399285714285714285714285714286","0.29047214138571428571428571428571429","9"
"2402020000","Avocado","24","24B","35","1769.9879200","49.16633111111111111111111111111111","0.694926119875","13"
"1307360000","Strawberry, juice","13","13G","297","1968.5948617","6.24950749746031746031746031746032","0.15672035753777777777777777777777778","62"
"603039000","Bean, mung, seed","6","6C","51","111.9961133","1.96484409298245614035087719298246","0.04682817823684210526315789473684211","102"
"602037000","Bean, lima, succulent","6","6B","45","747.5173276","16.61149616888888888888888888888889","0.37813193208222222222222222222222222","160"
"9500244000","Palm, oil","95","O","121","105.3589047","0.87073474958677685950413223140496","0.02141794181652892561983471074380165","77"
"9500244001","Palm, oil-babyfood","95","O","39","419.2782352","10.75072397948717948717948717948718","1.63327325111538461538461538461538462","102"
"3100044000","Beef, meat","31","31","843","51658.1912025","47.8759881394810009267840593141798","0.90784453831019462465245597775718258","1211"
"3100044001","Beef, meat-babyfood","31","31","2","49.7833400","24.89167","1.94079390725","21"
"1400278000","Pine nut","14","14","2","4.2200000","2.11","0.05791388255","5"
