"MEDICAMENTOA","MEDICAMENTOB","WEIGHT"
"147","7997","1"
"220","860","1"
"267","4555","1"
"267","4556","5"
"192","6881","1"
"377","1145","1"
"77","10449","1"
"77","10450","1"
"387","840","1"
"235","898","1"
"287","3943","1"
"366","1494","2"
"312","3170","1"
"346","2117","3"
"366","1497","1"
"83","1092","1"
"246","467","2"
"372","1305","1"
"80","3582","1"
"377","1162","1"
"133","8727","1"
"254","4977","1"
"254","4978","1"
"254","4979","1"
"165","7739","2"
"376","1196","1"
"399","487","1"
"52","1092","1"
"66","942","1"
"150","1188","1"
"133","222","1"
"171","657","1"
"401","431","2"
"396","586","1"
"399","467","2"
"43","1092","2"
"94","222","1"
"349","2048","1"
"80","2260","1"
"378","1151","1"
"262","1007","1"
"399","502","1"
"2087","13711","1"
"14","3793","1"
"367","1497","1"
"293","3792","1"
"81","635","1"
"349","2022","1"
"357","1811","1"
"349","2059","1"
"172","7548","1"
"156","3389","1"
"293","1719","1"
"4368","8547","1"
"4368","8548","1"
"4368","8549","1"
"4368","8550","1"
"4368","8551","1"
"4368","8552","1"
"4368","8553","1"
"4368","8554","1"
"4368","8555","1"
"4368","8556","1"
"378","1175","1"
"391","773","1"
"77","10502","1"
"89","10127","1"
"284","4093","1"
"64","10911","1"
"399","520","1"
"372","1353","2"
"4235","12685","1"
"376","1231","1"
"77","2260","1"
"376","1248","1"
"2","2112","1"
"94","9982","1"
"144","817","1"
"154","1693","1"
"83","8683","1"
"269","4571","1"
"2238","9068","1"
"267","4635","3"
"147","8356","1"
"368","1506","2"
"267","4638","2"
"2","3401","1"
"135","1351","1"
"224","5974","1"
"372","1351","1"
"2419","3467","1"
"27","12084","1"
"66","1831","1"
"78","494","1"
"65","898","1"
"171","721","1"
"337","2479","1"
"399","558","2"
"399","559","1"
"8596","8597","1"
"8596","8598","1"
"4146","5607","1"
"404","408","1"
"261","4842","1"
"77","1231","2"
"399","563","3"
"345","1251","2"
"293","3854","1"
"82","1351","2"
"399","569","3"
"40","1260","1"
"89","2801","1"
"2264","8294","1"
"380","1162","1"
"40","1693","2"
"4370","8547","1"
"4370","8548","1"
"4370","8549","1"
"4370","8550","1"
"4370","8551","1"
"4370","8552","1"
"4370","8553","1"
"4370","8554","1"
"4370","8555","1"
"4370","8556","1"
"404","430","4"
"89","467","4"
"335","2562","6"
"345","372","2"
"404","425","1"
"391","838","1"
"8597","8598","1"
"399","590","2"
"399","573","3"
"291","3943","1"
"14","4146","1"
"147","153","1"
"367","1590","1"
"372","1408","1"
"2077","14103","1"
"242","5468","1"
"399","602","1"
"83","246","1"
"373","1410","14"
"267","4697","5"
"276","1179","1"
"399","607","2"
"335","2592","1"
"375","1353","1"
"255","3244","1"
"5765","20142","1"
"65","235","1"
"402","520","1"
"6381","11780","1"
"52","346","1"
"405","430","1"
"287","4089","2"
"12","3570","1"
"372","1453","2"
"399","620","3"
"399","621","4"
"154","467","2"
"335","2607","1"
"12","7965","1"
"52","11382","1"
"366","1649","5"
"52","11384","1"
"52","11385","1"
"399","629","1"
"133","8875","1"
"349","2175","1"
"52","11383","1"
"399","633","1"
"2445","2744","1"
"136","8788","1"
"403","502","1"
"83","563","1"
"216","6311","1"
"60","563","2"
"146","608","3"
"399","635","2"
"378","1293","1"
"346","2286","1"
"205","1405","1"
"401","583","1"
"346","2288","1"
"4146","9891","1"
"267","4737","2"
"150","493","1"
"262","3244","1"
"391","899","1"
"402","559","1"
"399","650","1"
"378","1305","1"
"60","2386","1"
"402","563","2"
"165","7911","1"
"399","657","2"
"2422","3482","1"
"372","1497","15"
"324","2985","1"
"401","600","1"
"57","1674","4"
"372","1501","1"
"154","1120","1"
"52","1693","1"
"399","667","1"
"400","636","1"
"391","917","1"
"235","5754","1"
"150","262","2"
"69","171","2"
"12","2659","1"
"346","1092","1"
"246","762","1"
"31","12084","1"
"66","7997","1"
"177","7560","1"
"177","7561","1"
"177","7562","1"
"65","1719","1"
"83","467","2"
"403","559","1"
"358","1955","2"
"399","685","1"
"267","4778","2"
"81","1092","1"
"294","3943","1"
"60","467","6"
"216","6363","2"
"248","5366","1"
"399","692","1"
"60","762","2"
"4478","5314","1"
"331","2803","1"
"98","711","1"
"408","412","1"
"360","1907","2"
"408","419","1"
"218","6311","1"
"7997","21202","1"
"2150","2366","1"
"1534","23551","1"
"364","1789","1"
"80","1141","1"
"222","628","1"
"83","773","1"
"133","8954","2"
"2408","3966","1"
"372","1546","1"
"172","608","1"
"12","1831","1"
"7997","16293","1"
"2","3976","1"
"105","9394","1"
"87","935","1"
"124","2801","1"
"180","7507","1"
"180","7508","1"
"223","2260","1"
"40","11847","1"
"399","721","1"
"400","692","1"
"311","3446","1"
"223","1231","1"
"408","447","1"
"24808","24809","1"
"125","311","1"
"325","3023","1"
"145","8604","1"
"145","8605","1"
"143","153","1"
"1536","24806","1"
"135","662","1"
"1791","11944","1"
"81","154","1"
"145","4146","1"
"2400","4243","1"
"105","262","1"
"293","866","1"
"2400","4246","1"
"291","4089","2"
"119","9423","1"
"165","2112","1"
"378","1393","2"
"60","11254","1"
"145","8621","1"
"396","840","1"
"347","2361","1"
"31","12157","1"
"68","716","1"
"4506","4507","2"
"399","753","2"
"399","754","2"
"408","475","1"
"399","755","2"
"154","1092","1"
"263","4971","1"
"24809","24810","1"
"402","667","1"
"408","482","3"
"399","762","1"
"2376","5012","1"
"94","10219","1"
"408","485","2"
"231","5974","1"
"364","1851","1"
"224","6193","1"
"63","745","1"
"131","9068","1"
"239","1453","3"
"76","200","3"
"399","773","8"
"123","9330","1"
"375","1519","1"
"404","621","1"
"399","777","1"
"405","592","1"
"377","1446","1"
"149","402","1"
"2208","10232","1"
"323","3138","1"
"68","1999","1"
"400","753","1"
"400","754","1"
"400","755","1"
"399","787","1"
"335","2772","1"
"349","2336","1"
"43","3570","2"
"218","6392","1"
"65","11145","1"
"154","762","1"
"87","2716","1"
"60","11304","1"
"294","4051","1"
"129","3389","1"
"376","1508","1"
"156","706","1"
"399","800","1"
"349","2351","1"
"1996","16830","1"
"52","1120","1"
"224","6229","1"
"400","773","1"
"2391","4584","1"
"408","528","1"
"16226","24589","1"
"43","1260","2"
"59","1197","1"
"404","656","1"
"239","1401","1"
"28","68","4"
"156","8347","1"
"43","1120","2"
"8604","8605","1"
"65","586","1"
"129","143","1"
"147","1728","1"
"129","7965","1"
"412","418","1"
"144","8727","1"
"66","11145","1"
"81","1091","1"
"154","164","1"
"335","2810","1"
"335","1536","1"
"357","2130","1"
"412","426","1"
"399","829","1"
"400","800","2"
"372","889","1"
"2412","3966","1"
"294","4089","2"
"76","8768","1"
"83","762","1"
"7997","24742","1"
"255","742","1"
"60","7162","1"
"404","685","1"
"399","840","1"
"105","9956","1"
"405","657","2"
"373","1649","7"
"399","842","2"
"402","750","1"
"131","770","2"
"413","414","1"
"94","293","1"
"98","10181","1"
"94","153","3"
"408","573","2"
"119","6373","1"
"294","1408","1"
"81","1260","1"
"82","1092","1"
"380","1446","1"
"294","372","1"
"51","5319","1"
"399","860","1"
"227","6193","2"
"367","1853","1"
"404","708","1"
"7965","21202","1"
"401","800","1"
"346","2509","1"
"360","2076","1"
"360","2077","2"
"367","1861","1"
"346","1693","1"
"367","1860","1"
"401","809","1"
"133","8768","1"
"147","8683","1"
"239","5835","1"
"402","773","4"
"40","225","1"
"2050","8905","1"
"60","1092","2"
"412","462","1"
"99","10181","2"
"129","3792","1"
"90","3792","1"
"2","4146","1"
"81","590","1"
"83","1091","1"
"338","948","1"
"412","485","1"
"294","4144","1"
"143","7965","1"
"94","1831","1"
"94","3792","1"
"312","3590","1"
"335","2878","1"
"291","4243","2"
"414","431","3"
"227","6229","2"
"251","5486","1"
"399","899","1"
"408","621","1"
"27","12432","1"
"27","12434","1"
"403","773","1"
"317","3446","1"
"399","895","1"
"387","1278","1"
"405","721","1"
"347","2520","1"
"404","753","2"
"376","1623","1"
"27","12433","1"
"60","246","3"
"267","4990","1"
"188","7455","1"
"81","762","1"
"346","2559","2"
"399","896","1"
"377","1600","1"
"80","223","1"
"399","920","1"
"279","1401","1"
"261","5200","1"
"412","520","1"
"77","2391","4"
"311","3650","1"
"294","860","1"
"293","558","2"
"404","773","1"
"40","12030","1"
"239","5890","1"
"242","5798","1"
"404","777","1"
"223","6386","1"
"5926","25827","1"
"349","2479","2"
"82","467","2"
"2","7888","1"
"324","3263","1"
"43","650","2"
"399","940","1"
"372","1778","1"
"253","5468","1"
"141","8941","1"
"129","799","1"
"162","8292","1"
"66","94","1"
"414","482","1"
"290","672","1"
"162","8296","1"
"12","7997","1"
"414","486","1"
"156","8440","1"
"405","767","1"
"82","485","2"
"239","5915","1"
"372","1793","1"
"367","1949","1"
"415","462","1"
"82","346","1"
"2338","6384","2"
"2131","12804","1"
"376","1674","1"
"364","2048","1"
"408","685","1"
"119","1260","1"
"372","1803","6"
"57","11559","1"
"129","293","1"
"346","467","2"
"325","414","2"
"80","5607","1"
"7965","24742","1"
"81","246","1"
"65","153","1"
"129","1719","1"
"412","573","2"
"94","979","1"
"303","3954","1"
"399","979","6"
"399","980","1"
"255","5445","1"
"246","1260","1"
"155","8547","1"
"375","1728","1"
"155","8549","1"
"155","8550","1"
"155","8548","1"
"417","430","1"
"155","8553","1"
"331","3098","1"
"155","8552","1"
"155","8556","1"
"155","8551","1"
"155","8555","1"
"4406","7850","1"
"155","8554","1"
"26","3244","1"
"135","9176","1"
"216","6672","1"
"154","8585","1"
"94","586","1"
"372","1839","1"
"135","9177","1"
"1831","21202","1"
"129","7997","1"
"294","345","1"
"154","346","1"
"294","1260","1"
"364","2094","1"
"418","421","7"
"400","980","1"
"82","399","4"
"2099","13849","1"
"90","7965","1"
"94","459","1"
"372","1853","8"
"145","1141","2"
"269","5048","1"
"180","5855","1"
"24807","24809","1"
"2119","13237","1"
"176","7934","1"
"403","899","1"
"414","558","1"
"2317","7103","2"
"4334","4335","1"
"94","7997","1"
"153","2659","1"
"1800","18669","1"
"65","799","1"
"24861","24863","1"
"408","753","2"
"399","1033","2"
"205","262","1"
"415","539","9"
"415","540","10"
"399","1036","1"
"418","449","2"
"372","1875","2"
"147","1831","1"
"68","2391","1"
"251","2390","1"
"246","635","1"
"216","6717","1"
"412","641","1"
"312","3743","1"
"358","2318","2"
"377","1729","1"
"312","3745","1"
"321","3467","1"
"287","4523","2"
"408","773","2"
"416","525","1"
"31","12462","1"
"408","770","1"
"408","777","1"
"349","2607","1"
"4513","4595","1"
"372","1896","1"
"51","1408","1"
"344","2760","1"
"57","1224","5"
"147","2659","1"
"414","599","1"
"52","1091","1"
"220","399","1"
"287","4539","1"
"401","996","1"
"360","2278","2"
"367","2059","1"
"418","482","1"
"2468","2469","1"
"364","2157","1"
"4513","4584","1"
"180","1536","1"
"375","1820","1"
"162","921","1"
"94","942","1"
"5855","24810","1"
"80","7888","1"
"297","4243","1"
"372","1918","1"
"293","799","1"
"124","8979","1"
"418","496","1"
"414","620","1"
"239","6046","1"
"154","8683","1"
"83","154","1"
"1791","23474","1"
"418","502","1"
"376","1804","1"
"399","1092","1"
"399","1091","1"
"412","692","1"
"77","200","1"
"43","1693","2"
"24806","24808","1"
"418","510","3"
"399","1100","1"
"399","1101","2"
"243","5935","1"
"26","105","1"
"82","635","1"
"172","639","1"
"345","889","1"
"418","518","2"
"346","2750","4"
"89","1674","4"
"282","4737","1"
"323","3467","1"
"417","553","1"
"418","521","1"
"66","2659","1"
"153","866","1"
"153","3792","1"
"417","559","2"
"2293","7939","1"
"267","5211","3"
"399","1120","1"
"331","3229","1"
"143","147","1"
"325","3417","1"
"334","3139","1"
"1969","7406","1"
"66","1719","1"
"367","2119","2"
"417","570","1"
"346","2772","1"
"267","662","1"
"421","449","1"
"417","573","1"
"373","1939","1"
"82","83","1"
"400","1101","1"
"246","1693","1"
"264","4656","1"
"422","425","1"
"2278","8360","1"
"63","1260","1"
"66","586","1"
"380","1721","1"
"408","864","2"
"248","5825","1"
"276","493","1"
"133","1007","2"
"422","434","1"
"73","11254","1"
"99","10449","1"
"99","10450","1"
"81","1693","1"
"105","255","1"
"420","502","5"
"312","3850","2"
"367","2147","1"
"418","566","1"
"417","596","1"
"399","1158","1"
"147","586","1"
"378","1811","1"
"413","721","2"
"399","1162","1"
"335","3146","1"
"344","2868","1"
"345","1408","1"
"335","3150","1"
"414","702","1"
"85","10901","1"
"1949","18655","1"
"1949","18656","1"
"1949","18657","1"
"1949","18658","1"
"153","414","2"
"153","799","1"
"375","1919","1"
"2361","5890","1"
"2351","6201","1"
"417","620","1"
"418","589","1"
"69","85","1"
"291","4523","2"
"364","2267","2"
"2","13490","1"
"119","9858","1"
"396","1278","1"
"267","5278","5"
"414","721","2"
"65","3792","1"
"417","631","1"
"414","725","1"
"60","1260","2"
"335","3176","1"
"414","728","3"
"131","9502","1"
"375","1939","1"
"422","482","1"
"399","1196","1"
"422","485","1"
"417","635","1"
"375","1944","1"
"6568","6569","7"
"399","1147","2"
"408","924","1"
"48","12075","1"
"2471","2509","1"
"14","7888","1"
"338","3098","1"
"35","12491","1"
"35","12492","1"
"4243","13118","1"
"78","431","1"
"4243","13117","1"
"412","810","1"
"402","1120","1"
"69","3570","1"
"1831","18355","1"
"366","2240","1"
"373","1321","1"
"192","7636","1"
"165","1453","1"
"216","6894","5"
"372","2059","1"
"414","758","1"
"129","414","1"
"26","1007","1"
"262","5445","1"
"150","1320","1"
"133","563","3"
"1990","8666","1"
"418","641","3"
"372","2067","4"
"399","1231","1"
"418","644","1"
"2264","8954","1"
"16226","24590","1"
"195","7560","2"
"248","5918","1"
"248","5919","1"
"195","7562","2"
"195","7561","2"
"425","434","1"
"425","430","4"
"2099","14073","1"
"401","1182","1"
"17","13081","1"
"367","2238","1"
"242","6113","1"
"262","742","1"
"399","1249","1"
"417","692","1"
"364","2336","4"
"5855","24808","1"
"404","1095","1"
"99","10553","1"
"338","3145","1"
"147","9068","1"
"1996","17283","1"
"255","262","1"
"147","293","1"
"399","1260","1"
"404","1106","1"
"372","2099","1"
"246","650","1"
"380","1853","1"
"414","799","1"
"364","2351","1"
"2422","4090","1"
"2422","4091","1"
"2422","4092","1"
"2422","4093","1"
"2422","4094","1"
"2422","4095","1"
"2422","4096","1"
"2422","4097","1"
"364","2354","1"
"346","2916","1"
"422","558","1"
"399","1278","1"
"419","659","1"
"243","6113","1"
"418","692","1"
"372","2118","1"
"294","4523","2"
"420","633","1"
"422","572","1"
"218","6894","3"
"154","2666","1"
"425","482","2"
"405","1103","1"
"408","990","1"
"425","485","1"
"2286","8330","1"
"6547","7313","1"
"372","2131","2"
"241","6193","1"
"119","9975","1"
"150","9016","1"
"90","866","1"
"412","896","1"
"1736","24399","1"
"414","836","1"
"405","1116","1"
"405","1117","1"
"303","4280","1"
"119","9982","1"
"399","1305","2"
"1536","24810","1"
"426","471","1"
"2424","4069","1"
"417","751","1"
"418","722","1"
"417","753","2"
"153","293","1"
"377","1996","1"
"6449","10373","1"
"399","1316","1"
"251","5890","1"
"294","745","1"
"180","482","1"
"414","840","2"
"422","608","1"
"94","1999","1"
"421","620","2"
"367","2316","1"
"417","767","1"
"267","5417","3"
"2419","4243","6"
"373","2134","1"
"51","3471","1"
"251","5918","1"
"405","1145","2"
"241","6229","1"
"239","6290","1"
"133","2559","1"
"417","774","1"
"193","7722","1"
"417","779","1"
"239","2112","1"
"94","2016","1"
"81","467","2"
"218","6907","1"
"31","1872","1"
"38","131","1"
"418","755","1"
"153","1831","1"
"414","866","1"
"418","758","1"
"428","449","1"
"12","143","1"
"400","1316","1"
"14","2260","1"
"65","7965","1"
"2288","8330","1"
"52","635","1"
"373","2161","1"
"345","1260","1"
"122","3389","1"
"105","742","1"
"14","9891","1"
"191","7808","3"
"44","12365","1"
"2267","8360","1"
"6391","12219","1"
"6391","12220","1"
"248","6046","1"
"422","650","1"
"418","777","1"
"417","810","1"
"82","3570","1"
"165","239","5"
"26","9279","1"
"2376","5621","1"
"419","753","1"
"90","942","1"
"426","538","1"
"372","2213","1"
"77","628","2"
"425","572","1"
"264","413","1"
"154","590","1"
"52","1260","1"
"375","2126","1"
"427","514","1"
"205","3570","1"
"367","2377","1"
"12","3792","1"
"76","522","2"
"145","5607","1"
"271","2354","1"
"65","866","1"
"2466","2849","1"
"119","5319","1"
"126","9856","2"
"417","836","1"
"126","9858","1"
"344","3101","1"
"344","3102","1"
"428","498","1"
"367","2391","1"
"202","7507","1"
"202","7508","1"
"414","586","1"
"410","1062","2"
"422","685","1"
"408","1116","3"
"205","979","1"
"419","787","1"
"414","943","1"
"143","1719","2"
"426","573","1"
"293","4697","1"
"126","559","1"
"414","942","1"
"425","608","1"
"154","1260","1"
"402","1323","1"
"63","6373","1"
"2016","6096","1"
"2","13711","1"
"150","754","1"
"347","3033","1"
"337","3344","1"
"408","1144","2"
"242","6290","1"
"408","1143","2"
"417","868","1"
"421","745","1"
"312","4125","1"
"418","840","1"
"267","5519","1"
"402","1338","1"
"248","6113","1"
"181","4450","1"
"52","563","2"
"425","629","2"
"367","2428","1"
"405","1251","1"
"421","753","1"
"90","11018","1"
"417","881","1"
"422","728","1"
"2286","8481","2"
"2286","8482","1"
"408","1165","2"
"164","8727","1"
"408","1167","1"
"401","1375","1"
"417","890","1"
"372","2286","2"
"417","891","1"
"372","2288","4"
"372","2289","4"
"401","1391","1"
"418","864","1"
"3848","25517","4"
"425","650","1"
"279","5156","3"
"246","6201","1"
"149","563","1"
"94","2659","1"
"119","3471","1"
"425","656","1"
"335","3446","1"
"421","482","1"
"431","473","1"
"65","942","1"
"24807","24810","1"
"431","476","1"
"26","13011","1"
"118","10181","1"
"414","1006","1"
"418","883","1"
"380","2059","1"
"408","1194","1"
"401","1412","1"
"249","3848","2"
"1831","11145","1"
"180","1007","1"
"372","2316","5"
"69","979","2"
"4484","5918","1"
"4484","5919","1"
"331","3590","1"
"414","1018","1"
"2424","4243","1"
"418","896","2"
"401","1425","1"
"417","924","1"
"431","494","1"
"422","777","2"
"375","2235","1"
"425","685","1"
"91","5263","2"
"82","590","1"
"346","3138","1"
"66","191","1"
"26","180","1"
"417","940","1"
"372","2336","6"
"422","787","1"
"119","10181","1"
"66","799","1"
"346","3146","1"
"129","558","2"
"80","1383","1"
"68","6096","1"
"431","515","1"
"399","1508","1"
"144","9414","1"
"418","921","3"
"118","10222","1"
"118","10223","1"
"118","10224","1"
"425","708","1"
"430","553","3"
"129","156","1"
"242","6384","2"
"325","3806","1"
"414","1054","1"
"430","559","1"
"262","5765","1"
"364","2607","1"
"399","1523","1"
"431","522","1"
"16226","24591","1"
"195","7850","1"
"143","3792","1"
"1999","4584","1"
"334","3544","1"
"426","692","1"
"430","570","1"
"418","943","2"
"147","1719","1"
"430","573","1"
"4234","13722","1"
"431","544","1"
"4234","13723","1"
"65","264","1"
"372","2373","1"
"425","728","2"
"412","1138","1"
"2419","4457","2"
"105","9279","1"
"1745","25344","1"
"69","450","1"
"427","678","1"
"405","1361","1"
"269","5578","1"
"81","82","1"
"431","558","1"
"131","9858","1"
"2329","2698","1"
"430","592","1"
"98","10884","1"
"383","2051","1"
"420","905","1"
"94","716","1"
"66","7965","1"
"425","753","2"
"66","558","1"
"412","1158","1"
"154","246","1"
"402","840","1"
"90","558","1"
"2318","7612","4"
"90","11145","1"
"350","3086","1"
"414","1103","1"
"66","866","1"
"418","981","1"
"349","3121","1"
"26","9394","1"
"344","3278","1"
"254","1791","1"
"431","583","1"
"418","987","1"
"434","482","1"
"431","586","1"
"418","990","3"
"434","485","1"
"430","620","3"
"144","9481","1"
"425","777","2"
"172","493","3"
"83","650","1"
"357","2392","1"
"428","688","1"
"430","627","1"
"129","1831","1"
"90","143","1"
"431","599","1"
"415","1096","7"
"415","1097","2"
"419","974","1"
"2276","8941","4"
"418","1007","3"
"349","3146","1"
"417","1040","1"
"425","787","1"
"349","3150","1"
"155","2949","1"
"150","276","1"
"2482","2560","1"
"143","360","17"
"294","674","3"
"153","586","1"
"145","9481","1"
"123","573","1"
"14","2666","1"
"419","990","1"
"26","13174","1"
"431","620","1"
"378","2264","1"
"133","5855","1"
"40","2448","1"
"378","2267","1"
"430","656","4"
"430","657","2"
"4243","13526","1"
"77","126","1"
"262","5865","1"
"181","8380","1"
"399","1622","1"
"349","3174","32"
"89","1224","4"
"349","3176","1"
"419","1007","1"
"430","667","1"
"133","2249","1"
"65","1831","1"
"4450","7101","1"
"26","5445","1"
"347","3245","1"
"422","921","1"
"331","3743","1"
"418","1046","1"
"331","3745","1"
"80","1231","3"
"335","3620","1"
"408","1361","1"
"420","989","1"
"349","3189","1"
"50","12462","1"
"372","2471","1"
"427","777","1"
"242","6513","1"
"425","840","1"
"426","810","2"
"325","3943","1"
"428","751","1"
"415","1152","3"
"428","753","2"
"430","692","1"
"133","9899","1"
"94","525","1"
"335","2559","1"
"434","572","1"
"90","7997","1"
"1536","24808","1"
"290","479","1"
"43","762","2"
"119","889","1"
"418","1074","1"
"76","4656","2"
"69","720","1"
"1719","24742","1"
"317","4209","1"
"69","1745","2"
"430","708","4"
"94","7965","1"
"2267","2278","1"
"43","773","2"
"414","1208","1"
"399","1674","1"
"401","1613","1"
"428","777","3"
"69","126","1"
"51","63","1"
"125","162","2"
"60","254","1"
"129","10051","3"
"430","721","1"
"129","10053","3"
"94","4584","1"
"378","2336","4"
"131","264","1"
"118","1218","1"
"401","1626","1"
"360","2898","1"
"94","11145","1"
"94","6096","1"
"399","1682","1"
"247","6405","1"
"431","702","1"
"421","1007","5"
"98","11024","1"
"412","1294","1"
"5765","25519","1"
"338","3590","2"
"338","3591","1"
"154","650","1"
"66","90","2"
"434","608","1"
"268","5765","1"
"5855","24806","1"
"417","1145","1"
"18355","24742","1"
"99","11008","1"
"218","2949","1"
"60","12219","1"
"414","1246","1"
"60","12220","1"
"43","346","2"
"430","753","9"
"414","1250","1"
"126","1794","1"
"216","7384","1"
"135","172","1"
"293","2659","1"
"12","13711","1"
"399","1693","2"
"372","2559","1"
"66","418","1"
"43","979","2"
"144","450","1"
"90","2659","1"
"24808","24810","1"
"430","767","1"
"255","6193","1"
"418","1141","1"
"141","7101","1"
"69","1231","2"
"418","1144","1"
"12","3146","1"
"434","650","1"
"391","1984","1"
"391","1985","1"
"391","1986","1"
"335","3720","1"
"245","6513","1"
"323","4096","1"
"2338","7166","2"
"90","147","2"
"224","7166","1"
"269","5775","2"
"133","9982","1"
"249","1932","1"
"251","558","1"
"60","630","4"
"2392","4513","1"
"66","293","1"
"261","2949","1"
"65","172","2"
"3792","21202","1"
"125","2868","1"
"412","1353","1"
"421","1074","1"
"51","8360","1"
"91","132","1"
"428","861","1"
"256","6193","1"
"150","9481","1"
"80","7911","1"
"428","865","1"
"255","6229","1"
"269","5796","7"
"408","1487","1"
"418","1179","2"
"408","1490","1"
"368","2730","1"
"430","810","1"
"136","9925","1"
"136","9926","1"
"136","9927","1"
"136","9928","1"
"136","9929","2"
"190","753","1"
"378","2419","1"
"3792","24742","1"
"419","1145","1"
"2289","8727","1"
"125","10255","1"
"401","1718","1"
"143","942","1"
"434","685","1"
"200","7934","1"
"60","12295","1"
"1999","6096","1"
"349","413","1"
"154","205","1"
"105","5445","1"
"129","2659","1"
"81","773","1"
"372","2631","5"
"325","4089","2"
"256","6229","1"
"417","1238","1"
"345","3471","1"
"26","482","1"
"2","2631","1"
"51","6373","1"
"5855","24809","1"
"51","345","3"
"219","7384","1"
"133","1536","1"
"63","5319","1"
"225","2448","1"
"141","4450","1"
"367","2801","1"
"24807","24808","1"
"119","4050","1"
"129","866","1"
"434","728","1"
"16293","24742","1"
"224","7240","2"
"76","8979","1"
"205","450","1"
"119","345","2"
"154","9414","1"
"428","921","1"
"60","1745","5"
"375","2566","1"
"77","1794","1"
"131","402","1"
"321","4243","1"
"68","4584","1"
"4513","5365","1"
"178","1419","1"
"430","868","2"
"8356","17306","2"
"153","942","1"
"431","840","1"
"2416","4842","1"
"94","1419","1"
"399","1240","1"
"85","692","1"
"132","5263","1"
"7866","24630","1"
"1719","21202","1"
"4540","4541","1"
"143","866","1"
"293","942","1"
"153","558","1"
"14194","24950","4"
"264","2949","1"
"69","2760","2"
"94","2391","1"
"126","720","1"
"366","2872","1"
"417","1292","1"
"164","9136","1"
"338","3743","1"
"2293","8675","1"
"338","3745","1"
"2293","8677","1"
"366","2879","2"
"2293","8676","1"
"123","10411","1"
"399","1853","1"
"399","1860","1"
"154","3570","1"
"434","777","2"
"417","1305","1"
"413","1420","1"
"83","635","1"
"147","3792","1"
"239","6827","3"
"261","2825","1"
"422","1141","1"
"335","3854","1"
"2392","5614","1"
"434","787","1"
"119","10553","1"
"239","279","2"
"180","2559","1"
"66","2329","1"
"82","1693","2"
"82","1120","1"
"262","3570","2"
"105","3244","1"
"399","450","1"
"331","3990","1"
"331","3991","1"
"331","3992","1"
"331","3993","1"
"428","987","1"
"414","1419","2"
"422","1175","1"
"133","2260","1"
"401","1825","1"
"412","1487","1"
"68","525","1"
"410","1546","1"
"133","2390","2"
"2","14192","1"
"143","1831","1"
"24806","24809","1"
"147","799","1"
"218","7510","1"
"154","450","1"
"425","1095","1"
"420","1251","1"
"238","6894","3"
"412","1501","1"
"205","2666","1"
"415","1410","10"
"80","4656","1"
"227","7240","1"
"267","6000","1"
"119","294","1"
"82","262","2"
"425","1106","1"
"141","181","2"
"158","1129","1"
"261","6193","1"
"431","923","1"
"172","176","1"
"26","5855","1"
"2391","3750","2"
"66","153","1"
"191","2698","3"
"413","1488","2"
"60","12432","1"
"60","12433","1"
"60","12434","1"
"372","2760","2"
"69","12157","1"
"126","1745","1"
"1419","24967","1"
"51","2278","1"
"38","402","1"
"7965","18355","1"
"141","9931","3"
"145","8323","1"
"249","5765","1"
"129","153","1"
"414","1472","1"
"325","4232","1"
"399","1939","1"
"126","2147","2"
"147","162","2"
"418","1353","1"
"126","253","1"
"312","1791","1"
"349","3495","1"
"2","5607","1"
"425","1141","1"
"293","1831","1"
"63","119","1"
"418","1361","1"
"261","6229","1"
"144","9856","2"
"444","558","1"
"271","2094","1"
"24","860","1"
"267","6048","1"
"154","372","2"
"2466","3417","1"
"156","447","1"
"447","462","1"
"3848","25519","2"
"156","2825","1"
"367","399","2"
"372","2801","1"
"142","9931","6"
"63","3471","1"
"68","1932","1"
"216","7641","1"
"2082","11416","1"
"16424","22343","1"
"364","3056","1"
"248","2825","1"
"426","1136","1"
"370","2872","1"
"394","2130","1"
"80","2412","1"
"51","12765","1"
"51","12766","1"
"158","672","5"
"326","4243","1"
"425","1175","1"
"90","1831","1"
"326","4240","1"
"267","6076","1"
"357","3286","1"
"294","3471","1"
"253","6513","1"
"28","123","3"
"125","753","1"
"216","4342","1"
"5855","24807","1"
"190","3620","1"
"179","5327","1"
"418","1405","2"
"1719","18355","1"
"94","866","1"
"444","602","1"
"431","1006","1"
"223","7455","1"
"123","10556","1"
"80","262","1"
"89","881","1"
"444","608","1"
"69","1794","1"
"12","799","1"
"60","12515","1"
"131","585","1"
"119","4360","1"
"349","633","3"
"90","414","1"
"414","1546","1"
"326","4275","1"
"94","143","2"
"449","464","1"
"125","498","1"
"264","6201","1"
"145","9891","1"
"63","1408","1"
"63","345","1"
"1622","18318","1"
"1536","24807","1"
"26","2559","1"
"1536","24809","1"
"413","1590","1"
"401","585","1"
"335","1007","1"
"69","2666","1"
"76","413","1"
"65","293","1"
"218","7641","1"
"372","2868","1"
"231","7240","1"
"90","586","1"
"150","162","1"
"77","2147","2"
"248","6717","1"
"155","556","1"
"77","2150","2"
"90","293","3"
"264","447","1"
"414","1576","1"
"428","1143","1"
"428","1144","1"
"418","1455","2"
"449","495","1"
"135","639","1"
"147","9856","2"
"449","498","1"
"399","2048","1"
"4450","7540","1"
"77","1880","1"
"418","1453","2"
