"MEDICAMENTOA","MEDICAMENTOB","WEIGHT"
"4","82","1"
"2","200","3"
"4","133","1"
"677","44792","1"
"5854","15400","4"
"6","81","1"
"6","82","1"
"1939","5696","1"
"4","143","1"
"4","144","1"
"3259","30309","1"
"2","212","1"
"6","89","2"
"2","216","3"
"4","154","1"
"6","94","3"
"2","219","2"
"2","220","1"
"2","221","4"
"0","284","1"
"6","99","1"
"1968","4815","1"
"6","102","1"
"10249","10250","1"
"10249","10251","1"
"10249","10252","1"
"10249","10253","1"
"10249","10254","1"
"10249","10255","1"
"1990","4138","1"
"11419","39519","1"
"10181","12368","1"
"2","238","1"
"2","239","2"
"2797","44657","1"
"2048","2351","1"
"2","242","1"
"2","243","1"
"1999","3873","1"
"6","118","1"
"1096","31867","1"
"6","123","2"
"2","248","8"
"6","125","2"
"2","247","1"
"2","251","3"
"1312","25177","1"
"2","253","13"
"6","130","1"
"2048","2365","1"
"6","133","1"
"10","11","1"
"10250","10251","1"
"10250","10253","1"
"10","14","2"
"10250","10254","1"
"10250","10255","1"
"2","262","2"
"10250","10252","1"
"2","267","3"
"6","144","1"
"10","20","2"
"6","136","1"
"6","147","1"
"1096","31866","1"
"6","149","1"
"10","26","1"
"10","24","1"
"2","276","2"
"10","28","1"
"4","216","1"
"10","31","1"
"20490","20491","4"
"10","33","2"
"6","156","1"
"2","284","1"
"10","36","1"
"2","286","1"
"6","162","1"
"0","335","1"
"2","184","1"
"6","166","3"
"10251","10252","1"
"10251","10253","1"
"11","14","1"
"2","294","1"
"10251","10255","1"
"6","172","1"
"6","173","2"
"2059","2067","1"
"10251","10254","1"
"11","20","1"
"6","171","1"
"10","51","1"
"4","235","1"
"1863","8107","1"
"4","218","1"
"4","211","1"
"3987","7847","1"
"4","248","1"
"11","33","1"
"6","191","1"
"6","192","1"
"2","317","2"
"4","253","1"
"4","258","1"
"18355","21202","1"
"10","73","1"
"10252","10253","1"
"10","76","4"
"12","14","2"
"10252","10255","1"
"10252","10254","1"
"12","17","2"
"10","80","1"
"2","325","2"
"10","84","1"
"12","24","2"
"0","399","1"
"10","69","1"
"2","273","1"
"10","94","2"
"10","95","1"
"2055","2238","1"
"4","284","1"
"2","346","1"
"2","349","1"
"10","102","1"
"0","413","1"
"12","43","4"
"12","44","1"
"11","76","2"
"10253","10255","1"
"24589","24591","1"
"10253","10254","1"
"12","50","4"
"12","51","6"
"12","52","6"
"2","360","1"
"12","54","1"
"2","365","1"
"12","56","1"
"12","57","11"
"2","367","2"
"13","28","1"
"12","60","2"
"10","123","2"
"2","372","3"
"10","119","1"
"12","65","2"
"11","97","3"
"2","376","1"
"12","68","2"
"12","69","3"
"2","377","1"
"10","133","2"
"12","66","1"
"13","14","2"
"12","59","1"
"4","323","1"
"10254","10255","1"
"12","78","1"
"3841","12452","1"
"12","80","2"
"14","18","1"
"14","20","4"
"10","144","4"
"12","84","1"
"12","82","1"
"1932","6096","1"
"14","25","1"
"10","149","1"
"12","89","10"
"12","90","2"
"13","60","1"
"14","30","3"
"14","31","6"
"12","94","2"
"2","405","1"
"14","33","1"
"13","65","2"
"12","98","1"
"13","68","2"
"13","69","2"
"11","131","1"
"10","164","1"
"10","165","1"
"2","399","2"
"3897","10742","1"
"10","162","2"
"2","414","1"
"13","77","3"
"1800","10217","1"
"12","104","1"
"4","349","1"
"14","50","1"
"14","51","2"
"14","52","1"
"2","422","1"
"1997","4116","1"
"13","83","1"
"10","180","1"
"14","56","1"
"2","430","1"
"2","431","1"
"14","60","7"
"1616","15925","1"
"2","434","1"
"13","94","2"
"12","126","2"
"1803","10127","1"
"12","125","1"
"12","119","1"
"14","68","4"
"12","131","3"
"12","129","2"
"14","43","2"
"2","444","2"
"11","165","1"
"14","74","1"
"6","323","1"
"14","76","15"
"6","325","1"
"10","202","1"
"12","138","1"
"14","80","8"
"14","81","2"
"11","174","1"
"14","83","1"
"14","84","1"
"14","85","1"
"12","147","5"
"11","180","1"
"12","144","4"
"14","89","1"
"13","85","1"
"10","200","1"
"14","77","5"
"12","154","3"
"14","94","6"
"11","188","1"
"6","344","1"
"2044","2700","1"
"6","345","1"
"14","98","2"
"12","162","1"
"6","321","1"
"12","164","1"
"2","474","1"
"13","125","1"
"11","198","1"
"24590","24591","1"
"13","123","1"
"11","195","1"
"11","202","1"
"4","419","1"
"12","172","1"
"12","153","1"
"13","144","1"
"14","69","4"
"2","487","1"
"11944","23474","1"
"6","365","1"
"14","118","1"
"14","119","10"
"11","212","1"
"17","25","1"
"10","246","1"
"13","76","1"
"17","31","1"
"2048","2607","1"
"14","126","3"
"17","33","1"
"6","376","1"
"14","129","5"
"14","130","1"
"14","131","4"
"2","498","1"
"14","133","5"
"2","496","1"
"13","156","1"
"3987","8045","1"
"14","137","1"
"12","200","2"
"14","139","1"
"10","264","1"
"10","262","2"
"12","201","2"
"10","267","4"
"14","144","13"
"14","145","7"
"14","136","6"
"2","519","2"
"2","520","3"
"14","149","5"
"11","243","1"
"14","150","3"
"2","509","3"
"11","246","1"
"12","216","4"
"14","155","1"
"18","31","1"
"14","154","3"
"2","502","3"
"12","218","1"
"2","522","1"
"10","282","1"
"2","534","1"
"14","162","3"
"14","164","2"
"12","136","1"
"5604","23474","1"
"2","539","1"
"1294","25996","3"
"13","200","2"
"14","125","6"
"11","264","1"
"14","172","1"
"6","420","1"
"14","174","1"
"2","544","2"
"14","176","1"
"1294","25997","1"
"17","85","1"
"6","427","2"
"12","242","4"
"2","553","1"
"12","241","1"
"14","180","1"
"18","60","2"
"13","216","1"
"2","558","9"
"14","187","1"
"12","205","1"
"1996","4280","1"
"18","65","2"
"14","191","3"
"1919","6672","1"
"12","255","1"
"12","256","1"
"2","561","1"
"14","186","1"
"2","569","4"
"2","570","1"
"18","69","1"
"12","262","1"
"6","449","1"
"14","202","1"
"12","174","1"
"13","235","2"
"18","80","1"
"14","205","1"
"12","248","4"
"13","119","1"
"14","143","1"
"20","24","1"
"10","335","1"
"1178","29493","1"
"20","27","2"
"20","28","3"
"0","646","2"
"20","30","1"
"13","248","3"
"20","31","5"
"20","33","5"
"14","220","1"
"2","592","1"
"20","36","1"
"13","251","1"
"14","218","2"
"10","349","2"
"14","223","1"
"17","131","1"
"18","94","3"
